SPECIMEN_REFERENCE_DNA_NO,RECEIVED_SCALES,RECEIVED_DNA,RECEIVED_OTOLITH,READ_SCALES,READ_DNA,READ_OTOLITH,OTOLITH_LAB_NUMBER,SCALE_SUBMISSION_NUMBER,PROGRAM,BIOKEY,ID2,FISH_NO,AREA_NAME,REFERENCE_NO,YEAR,MONTH,COLLECTION_DATE,DAYOFYEAR,SAMPLE_TYPE,AREA,SUBAREA,FISHING_LOCATION,SAMPLER_NAME,SAMPLER_TYPE,SAMPLER_ID,LANDING_SITE,GUIDED,SPECIES,DISPOSITION,SIZE_CAT,ADIPOSE_FIN_CLIPPED,LENGTH_MM,MGMT_SIZE_3,MGMT_SIZE_2,SEX,RESOLVED_STOCK_ORIGIN,RESOLVED_STOCK_ROLLUP,RESOLVED_STOCK_SOURCE,HATCHERY_ORIGIN,RESOLVED_AGE,OTOLITH_BOX,OTOLITH_SPECIMEN,FACILITY,THERMALMARK,OTO_STOCK,OTOLITH_RESOLVED_RESULT,SCALE_BOOK,SCALE_NO,SCALE_SOURCE,SCALE_FORMAT,AGE_GR,PART_AGE_CODE,CWT_HEAD_LABEL,CWT_RESULT,CWT_REGION,CWT_BROOD_YEAR,DNA_CONTAINER_TYPE,PBT_BROOD_YEAR,PBT_SEX,RESOLVED_STOCK_REGION,DNA_RESULTS_STOCK_1,REGION_1_NAME,REGION_1_ROLLUP,PROB_1,DNA_STOCK_2,REGION_2_NAME,REGION_2_ROLLUP,PROB_2,DNA_STOCK_3,REGION_3_NAME,REGION_3_ROLLUP,PROB_3,DNA_STOCK_4,REGION_4_NAME,REGION_4_ROLLUP,PROB_4,DNA_STOCK_5,REGION_5_NAME,REGION_5_ROLLUP,PROB_5,PHOTO_NO,COMMENTS,Size Class
224393,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090202,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 2,N/A,Y,607,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,Y,,,,,,,,1031442,4,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9999974,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000025,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0000001,SKYKOMISH_RIVER,,,,SKYKOMISH_RIVER,,,,,,Legal
224394,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090303,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 3,N/A,N,600,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031442,5,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9917759,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.005704,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.002499,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0000211,GREEN_RIVER-KENDAL,,,,,,Legal
224395,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090404,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,558,sub legal,sub legal,Unk,Skykomish River,Puget Sound,DNA,Y,,,,,,,,1031442,6,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.803139,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.1967789,SKAGIT_RIVER,Skagit River,Puget Sound,0.0000814,SKAGIT_RIVER,Stillaguamish River,Puget Sound,0.0000006,SKAGIT_RIVER,,,,,,Legal
224396,N/S,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090505,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 3,N/A,Y,423,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,Y,,,,,,,,,,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9999999,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000001,,,,,,,,,,,,,,,Sub-Legal
224397,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090606,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,575,sub legal,sub legal,Unk,Skykomish River,Puget Sound,DNA,Y,,,,,,,,1031442,7,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.999994,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.000006,,,,,,,,,,,,,,,Legal
224398,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090707,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,430,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031442,8,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.6301241,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.2223894,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.1473831,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000527,SNOHOMISH_RIVER,Skykomish River,Puget Sound,0.0000486,,,Sub-Legal
224399,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090808,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,N,624,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031442,9,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.8914488,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0465248,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0372975,SKYKOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0246992,SKYKOMISH_RIVER,Skagit River,Puget Sound,0.0000295,,,Legal
224400,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149090909,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 2,N/A,N,564,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,,,,,,,,,1031442,10,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.98456,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0150513,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.000383,SKYKOMISH_RIVER,Soos Creek Hatchery,Puget Sound,0.0000051,SKYKOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000005,,,Legal
224401,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200101,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19D,Constance Bank,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,N,695,legal,legal,Unk,"Chilliwack River ""Fall Run""",Fraser Fall,DNA,,,,,,,,,1031436,1,SPORT FISHERY,,,,,,,,Whatman,2019,presumed_female,Fraser Fall,CHILLIWACK_RIVER_FALL,"Chilliwack River ""Fall Run""",Fraser Fall,1,,,,,,,,,,,,,,,,,,,Legal
224402,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200202,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19D,Constance Bank,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,575,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,2,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9842663,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0144193,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0009664,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0003479,SNOHOMISH_RIVER,,,,,,Legal
224403,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200303,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19C,Oak Bay,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,515,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,3,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9999673,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000182,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000144,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000001,GREEN_RIVER,,,,,,Legal
224404,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200404,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19C,Oak Bay,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,620,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,4,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.7870989,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.2111953,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0017052,GREEN_RIVER,Snohomish River,Puget Sound,0.0000006,GREEN_RIVER,,,,,,Legal
224405,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200505,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19C,Oak Bay,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,542,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,5,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9770874,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.021746,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0011558,GREEN_RIVER,Snohomish River,Puget Sound,0.0000103,GREEN_RIVER,Big Qualicum River,ECVI Fall,0.0000004,,,Legal
224406,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200606,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19D,Constance Bank,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,708,legal,legal,Unk,Snohomish River,Puget Sound,DNA,Y,,,,,,,,1031436,6,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.6688788,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.2123442,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.1169857,GREEN_RIVER,Skykomish River,Puget Sound,0.0017913,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000001,,,Legal
224407,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200707,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19D,Constance Bank,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,Y,559,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,7,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.8093592,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.1826622,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0079777,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000006,SNOHOMISH_RIVER,Big Qualicum River,ECVI Fall,0.0000003,,,Legal
224408,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149200808,TRUE,TRUE,,,2023,May,2023-05-10 00:00:00,130,Sport,19,19D,Constance Bank,Sean Scott,Guide,986,Logbook,Y,124,Release Cond 1,N/A,N,680,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031436,8,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9454092,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0398877,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0145816,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000703,GREEN_RIVER,Skykomish River,Puget Sound,0.0000507,,,Legal
224421,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149091010,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,538,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,1,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.8827891,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0679907,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0285327,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0206859,SNOHOMISH_RIVER,,,0.0000015,,,Legal
224422,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149100101,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19D,Esquimalt Harbour,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,402,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,2,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9956694,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0043304,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000002,SNOHOMISH_RIVER,,,,SNOHOMISH_RIVER,,,,,,Sub-Legal
224423,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149100202,TRUE,TRUE,,,2023,May,2023-05-11 00:00:00,131,Sport,19,19E,William Head,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,360,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,Y,,,,,,,,1031437,3,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9999981,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000012,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0000006,SKYKOMISH_RIVER,,,,SKYKOMISH_RIVER,,,,,,Sub-Legal
224424,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220101,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19E,William Head,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 2,N/A,Y,520,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,4,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.999811,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0001142,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000746,SNOHOMISH_RIVER,White River,Puget Sound,0.0000003,SNOHOMISH_RIVER,,,,,,Legal
224425,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220202,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19E,William Head,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,520,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,5,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9165562,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0743702,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0075374,SNOHOMISH_RIVER,Skykomish River,Puget Sound,0.0015187,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000165,,,Legal
224426,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220303,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,N,400,sub legal,sub legal,Unk,Snohomish River,Puget Sound,DNA,,,,,,,,,1031437,6,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.9707775,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.025067,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0028471,GREEN_RIVER,Skykomish River,Puget Sound,0.0012111,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000784,,,Sub-Legal
224427,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220404,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,490,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,7,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.889611,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.1103871,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000011,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000008,SNOHOMISH_RIVER,,,,,,Legal
224428,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220505,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 3,N/A,N,600,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031437,8,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9122137,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0479835,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.039257,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0003442,SNOHOMISH_RIVER,Skykomish River,Puget Sound,0.0002016,,,Legal
224429,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220606,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,740,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,9,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9970786,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0025888,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0002968,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000301,GREEN_RIVER,Skykomish River,Puget Sound,0.0000057,,,Legal
224430,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220707,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,400,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031437,10,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.6060416,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.3939121,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.000046,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000003,SNOHOMISH_RIVER,,,,,,Sub-Legal
224431,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680149220808,TRUE,TRUE,,,2023,May,2023-05-16 00:00:00,136,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,N,480,sub legal,sub legal,Unk,Snohomish River,Puget Sound,DNA,,,,,,,,,1041553,6,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.960012,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0308039,SKAGIT_RIVER,Skagit River,Puget Sound,0.0083911,SKAGIT_RIVER,Nooksack River,Puget Sound,0.0007927,SKAGIT_RIVER,Big Qualicum River,ECVI Fall,0.0000003,,,Legal
224432,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230101,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,740,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041553,7,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9250265,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0598979,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0150725,GREEN_RIVER,Skykomish River,Puget Sound,0.0000029,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000001,,,Legal
224433,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230202,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,540,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041553,8,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9978269,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0011507,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0010093,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0000131,GREEN_RIVER-KENDAL,,,,,,Legal
224434,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230303,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,490,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041553,9,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.8575282,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.142085,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0003837,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0000032,GREEN_RIVER-KENDAL,,,,,,Legal
224435,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230404,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 2,N/A,Y,710,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041553,10,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9651683,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0346788,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.00013,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000225,SNOHOMISH_RIVER,,,0.0000004,,,Legal
224436,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230505,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,N,450,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1031447,9,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.7542002,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.1772556,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0683686,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0001747,SNOHOMISH_RIVER,Skykomish River,Puget Sound,0.0000006,,,Legal
224437,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230606,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 1,N/A,Y,540,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031447,10,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9844312,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0087948,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0067712,GREEN_RIVER-KENDAL,Snohomish River,Puget Sound,0.0000024,GREEN_RIVER-KENDAL,,,0.0000004,,,Legal
224438,Y,Y,N/A,N/S,N/S,N/A,,,Juan de Fuca,19680151230707,TRUE,TRUE,,,2023,May,2023-05-17 00:00:00,137,Sport,19,19D,Constance Bank,Justin Wilson,Guide,103,Logbook,Y,124,Release Cond 2,N/A,Y,700,legal,legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1031436,9,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.8435025,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.1564259,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000546,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.000017,SNOHOMISH_RIVER,,,,,,Legal
